Timesteps,EpisodeReward,PolicyLoss,ValueLoss,EntropyLoss,KL_Divergence
12272,-0.685,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
12364,-0.6075,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
12460,-0.7,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
12464,-0.0075,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
12556,-0.5975,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
12700,-0.79,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
12808,-0.7,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
12928,-0.6875,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
13048,-0.565,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
13200,-0.785,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
13356,-0.5575,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
13472,-0.61,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
13584,-0.59,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
13664,-0.4575,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
13712,-0.13,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
13800,-0.625,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
13904,-0.2425,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
14004,-0.5575,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
14108,-0.3025,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
14216,-0.56,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
14368,-0.63,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
14392,-0.0525,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
14504,-0.75,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
14576,-0.16,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
14668,-0.78,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
14744,-0.3925,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
14844,-0.715,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
15012,-0.555,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
15152,-0.8125,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
15252,-0.83,0.0,0.018685634330904578,-5.363446261361242,0.20605751872062683
